candidate_id,family,definition_sha256,horizon_bars,trade_rows,trade_ledger_sha256
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,8,94,de815bd8565b9024d689254f1f516a7a158ef8bcb61d2732573f8d7b4d91eec3
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,12,94,b9c538981c2d81c7b6613da6eaf5b57081d00f457243b62a711e37710bb9910f
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,16,94,590b86cfac4a8d2bb80e31cdf101ba716591509fe585d6b947c0431c3a5202f0
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,24,94,f50da217428ebbbc0ecff536698d5aeebe74b3bb2a49b9bc5f8cb920fa00c7c7
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,32,94,10f437b76c97e621937d609590c696646b1cb06f8268fdd128f2f6016255db2e
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,48,93,980c5bec450b5a64fa2218953d896f60d83a46b12dba4de4127de5f37e693bc5
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,1,140,c7c71c16bd9bcccee927ba5fd834ddaa8b00a8a7ecd3eb8233b6df7086d33a2c
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,2,140,42bb6dfe76d644a26d17c69efe3809ff7928e9cb4854156e17ef219f6ed52169
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,3,140,c4463fb4ee82a191b16066e679104fec3840197c3b039fa67b644362700240bd
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,4,140,f5550de165ad2556d2f5f6c4afee9c380496715a4d1d118e95360730351af2c7
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,6,140,820e18f9875d0bd0568c2bea2f5ace04ef50406f9b3ce5d6275ebf61a1d378ee
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,8,140,b0e4be9f5877f3d20bfaba4208a76d3e8c24b0595fdd92411696948f37f9c138
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,12,140,8d01fd554475265107fb93a4da8cf736626451cadfc7eff196b878de5965a469
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,16,140,e0d4db0805af83a60f92188049e0202d331fd2dff70f88115ce07510ded69bac
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,24,140,ff32098616b7dbf14b3df650cece36da2d8dcf747b0b1c727f4f14f0acd2a665
